경기 스코어,,,,,,,,,,,,,,,,,
구장: 문학 ,"관중 : 8,822",개시: 18:30,종료 : 21:35,경기시간 : 3:05,,,,,,,,,,,,,
,팀,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,R,H,E,B
승,(두산)22승 29패 3무,4,0,1,0,1,0,4,2,0,-,-,-,12,13,1,9
패,(SSG)27승 25패 3무,0,0,0,0,0,3,0,0,0,-,-,-,3,7,1,3
