결정적 장면 best5,,,,,,,,,,,,,,,,,,,
이닝초,투수,타자,P,결과,이전상황,이후상황,LEV,REs,REa,WPe,WPa,,,,,,,,
1회초,곽빈,6(3-2),우익수 방면 2루타,"1사 1,3루 1:0","1사 2,3루 2:0",1.64,1.273,1.229,24.60%,0.097,,,,,,,,
1회초,안재석,1(0-0),중견수 방면 1루타,무사 1루 0:0,"무사 1,3루 0:0",1.44,1.036,0.846,37.60%,0.089,,,,,,,,
1회초,,안상현,1(0-0),유격수 송구실책 출루,"1사 2,3루 2:0",1사 2루 4:0,1.13,1.502,1.339,15.90%,0.087,,,,,,,,
6회말,강승호,4(2-1),중견수 방면 2루타,"1사 1,2루 6:0","1사 2,3루 6:1",0.76,1.133,1.369,10.20%,0.056,,,,,,,,
7회초,조수형,3(2-0),좌익수 뒤 홈런,1사 6:3,1사 7:3,0.27,0.302,00:00,6.20%,0.05,,,,,,,,
